paradas;servicios
PJ489;508I-508IPM-J03I
PJ490;508I-508IPM-J03I-J13R-J13cR
PJ1811;508I-508IPM-J03I
PJ491;508I-508IPM-J03I
PJ493;508I-508IPM-J03I
PJ702;J04I-J04cI-J05I-J05IN-J06R
PJ1060;J04I-J04cI-J05I-J05IN-J06R
PJ719;J04R-J04cR-J05R-J05RN-J06I
PJ720;J04R-J04cR-J06I
PJ484;508I-508IPM-J03I-J04R-J04cR
PJ485;508I-508IPM-J03I-J04R-J04cR
PJ486;508I-508IPM-J03I
PJ487;508I-508IPM-J03I
PJ718;J04R-J04cR-J06I
PJ683;J03I
PJ606;J01R-J01cR
PJ607;J01R-J01cR
PJ608;J01R-J01cR
PJ610;J01R-J01cR-J08R
PJ611;J01R-J01cR-J08R
PJ609;J01R-J01cR-J08R
PJ612;J01R-J01cR-J08R
PJ613;J01R-J01cR-J08R
PJ614;J01R-J01cR-J02R-J08R-J13R-J13cR
PJ605;J01R-J01cR
PJ615;J01R-J01cR-J02R-J08R-J13R-J13cR
PJ716;J04cR-J05R-J05RN
PJ714;J04cR-J05R-J05RN
PJ717;J04cR-J05R-J05RN
PJ715;J04cR-J05R-J05RN
PJ704;J04cI-J05I-J05IN
PJ703;J04cI-J05I-J05IN
PJ705;J04cI-J05I-J05IN
PJ737;J05I-J05IN
PJ736;J05I-J05IN
PJ738;J05R-J05RN
PJ721;J04R-J04cR
PJ722;J04R-J04cR
PJ723;J04R-J04cR
PJ1737;J04I-J04cI
PJ701;J04I-J04cI
PJ965;502cR-J13I-J13cI
PJ305;502R-502cR-J05I-J05IN
PJ304;502R-502cR-J05I-J05IN
PJ303;502R-502cR-J05I-J05IN
PJ302;502R-502cR-J05I-J05IN
PJ301;502R-502cR-J05I-J05IN
PJ966;502cR-J13I-J13cI
PJ313;502R-502cR-J05I-J05IN-J13I-J13cI
