101R|T-4-23-PO-5|PB45|22071|
101R|T-4-23-PO-10|PB46|22385|
101R|T-4-23-PO-15|PB47|22835|
101R|T-4-24-PO-5|PB48|23265|
101R|T-4-24-PO-10|PB49|23524|
101R|T-4-24-PO-15|PB50|23897|
101cI|T-8-52-SN-15|PJ21|0|
101cI|T-8-71-PO-5|PJ180|280|
101cI|T-8-71-PO-10|PJ133|452|
101cI|L-8-17-17-NS|PJ1738|651|
101cI|L-8-17-20-NS|PJ978|871|
101cI|L-8-17-25-NS|PJ979|1049|
101cI|T-8-70-NS-15|PJ33|1327|
101cI|L-7-57-1-OP|PI1678|1832|
101cI|T-9-52-NS-15|PJ17|2115|
101cI|E-9-52-NS-20|PJ18|2675|
101cI|T-7-52-NS-5|PI1|3110|
101cI|L-7-34-15-NS|PI1489|3514|
101cI|T-7-48-OP-30|PI3|3884|
101cI|T-7-48-OP-35|PI4|4104|
101cI|T-7-48-OP-40|PI5|4433|
101cI|T-7-48-OP-45|PI6|4684|
101cI|T-7-48-OP-50|PI7|4897|
101cI|T-7-48-OP-55|PI8|5190|
101cI|T-13-375-NS-2|PI9|5463|
101cI|T-13-375-NS-5|PI10|5740|
101cI|T-13-375-NS-10|PI11|6048|
101cI|T-13-375-NS-15|PI12|6360|
101cI|L-12-25-20-NS|PI13|6817|
101cI|L-12-25-25-NS|PI14|7033|
101cI|L-12-25-27-NS|PI1440|7197|
101cI|L-12-25-31-NS|PI15|7490|
101cI|L-12-25-45-NS|PI16|7824|
101cI|L-12-25-55-PO|PI17|8073|
101cI|L-12-25-65-PO|PI18|8336|
101cI|L-12-25-75-PO|PI19|8559|
101cI|L-12-25-80-PO|PI20|8840|
101cI|L-12-25-85-PO|PI21|9193|
101cI|L-12-50-35-NS|PI1321|9555|
101cI|L-12-50-40-NS|PI1323|9826|
101cI|L-12-13-35-OP|PI24|10065|
101cI|L-12-13-30-OP|PI25|10253|
101cI|L-12-13-25-OP|PI1643|10511|
101cI|L-12-13-20-OP|PI1642|10836|
101cI|L-12-13-15-OP|PI1641|11030|
101cI|L-12-13-5-OP|PI1635|11362|
101cI|L-12-13-10-OP|PI1640|11601|
101cI|L-12-24-5-NS|PI695|12068|
101cI|L-12-24-10-NS|PI1242|12333|
101cI|L-12-24-15-NS|PI1243|12579|
101cR|L-12-24-15-SN|PI883|164|
101cR|L-12-24-10-SN|PI884|453|
101cR|L-12-24-25-SN|PI1646|726|
101cR|L-12-13-4-PO|PI1644|936|
101cR|L-12-13-6-PO|PI1636|1188|
101cR|L-12-13-10-PO|PI889|1496|
101cR|L-12-13-15-PO|PI890|1810|
101cR|L-12-13-20-PO|PI891|2000|
101cR|L-12-13-25-PO|PI892|2267|
101cR|L-12-11-15-SN|PI26|2455|
101cR|L-12-11-10-SN|PI27|2656|
101cR|L-12-11-5-SN|PI28|2968|
101cR|L-12-25-60-OP|PI29|3189|
101cR|L-12-25-50-OP|PI30|3529|
101cR|L-12-25-40-SN|PI31|3787|
