service;origin;destiny;color;color_id
I03;VILLA LOS HéROES ; VILLA PORTALES;00B33C;1
I03c;VALLE VERDE ; (M) SAN ALBERTO HURTADO;00B33C;1
I04;VILLA EL ABRAZO ; (M) SAN ALBERTO HURTADO;00B33C;1
I04c;VILLA EL ABRAZO ; (M) PLAZA MAIPU;00B33C;1
I04e;VILLA EL ABRAZO ; (M) PLAZA MAIPU;00B33C;1
I05;RINCONADA ; (M) LO OVALLE;00B33C;1
I07;RINCONADA ; MALL ARAUCO MAIPU;00B33C;1
I08;MALL ARAUCO MAIPú ; (M) SAN ALBERTO HURTADO;00B33C;1
I08N;LA FARFANA ; ALAMEDA;00B33C;1
I08c;LA FARFANA ; (M) LAS REJAS;00B33C;1
I09;RINCONADA ; (M) ULA;00B33C;1
I09c;RINCONADA ; (M) LAS REJAS;00B33C;1
I09e;RINCONADA ; (M) ULA;00B33C;1
I09v;RINCONADA ; (M) PLAZA MAIPU;00B33C;1
I10;VILLA LOS HéROES ; USACH;00B33C;1
I10N;VILLA LOS HEROES ; ALAMEDA;00B33C;1
I11;CIUDAD SATELITE ; (M) PLAZA MAIPU;00B33C;1
I12;PUEBLITO LA FARFANA ; MALL FLORIDA CENTER;00B33C;1
I13;VILLA LOS PRESIDENTES ; (M) SAN ALBERTO HURTADO;00B33C;1
I14;MALL PLAZA OESTE ; ESTACIóN CENTRAL;00B33C;1
I16;POBLACION SANTIAGO ; FERROCARRIL;00B33C;1
I17;VILLA FRANCIA ; HOSPITAL SAN JUAN DE DIOS;00B33C;1
I18;RINCONADA ; (M) ULA;00B33C;1
I20;VALLE VERDE ; MARTA OSSA RUIZ;00B33C;1
I21;VILLA HERNAN DíAZ ; (M) PLAZA MAIPU;00B33C;1
I22;LA FARFANA ; (M) DEL SOL;00B33C;1
I24;VILLA LOS MAITENES ; PLAZA OESTE;00B33C;1
J01;PUDAHUEL SUR ; (M) QUINTA NORMAL;00D9A3;1
J01c;(M) SAN PABLO ; CARRASCAL;00D9A3;1
J02;ENEA ; (M) ULA;00D9A3;1
J03;COSTANERA SUR ; (M) REPUBLICA;00D9A3;1
J04;(M) NEPTUNO ; LA ALIANZA;00D9A3;1
J05;COSTANERA SUR ; (M) ULA;00D9A3;1
J06;(M) PUDAHUEL ; (M) PAJARITOS;00D9A3;1
J07;NOVICIADO ; (M) PUDAHUEL;00D9A3;1
J07c;(M) PUDAHUEL ; LO BOZA;00D9A3;1
J07e;NOVICIADO ; (M) PUDAHUEL;00D9A3;1
J08;PUDAHUEL SUR  ; HOSPITAL FELIX BULNES;00D9A3;1
J10;SAN DANIEL ; PARQUE DE LOS REYES;00D9A3;1
J11;LOMAS DE LO AGUIRRE ; (M) PAJARITOS;00D9A3;1
J12;(M) PAJARITOS ; CIUDAD DE LOS VALLES;00D9A3;1
J13;(M) ESTACIóN CENTRAL ; COSTANERA SUR;00D9A3;1
J13c;(M) SAN PABLO ; COSTANERA SUR;00D9A3;1
J14c;VILLA ROOSEVELT ; PUDAHUEL SUR;00D9A3;1
J15c;LA ALIANZA ; (M) NEPTUNO;00D9A3;1
J16;COSTANERA SUR ; (M) ESTACIóN CENTRAL;00D9A3;1
J17;(M) PAJARITOS; PUERTO SANTIAGO;00D9A3;1
J18;ENEA ; (M) SAN PABLO;00D9A3;1
J18c;EL TRANQUE ; (M) SAN PABLO;00D9A3;1
J19;PUDAHUEL SUR ; (M) SANTA ANA;00D9A3;1
J20;EL MONTIJO ; (M) PUDAHUEL;00D9A3;1
