stop_code;stop_name;stop_lat;stop_lon
PE8;PE8 - Liceo Técnico La Florida;-33.51632844;-70.58391443
PE9;PE9 - Real Pontevera / Av. La Florida;-33.51807336;-70.582561
PE10;PE10 - Parada 1 / Paradero 14 Av. La Florida;-33.52192241;-70.579282
PE11;PE11 - Paradero 15 Av. La Florida;-33.52549354;-70.57773908
PE12;PE12 - Paradero 16 Av. La Florida;-33.52849545;-70.576455
PE13;PE13 - Paradero 17 Av. La Florida;-33.53200147;-70.574989
PE14;PE14 - Parada 1 / Paradero 18 Av. La Florida;-33.53538648;-70.573807
PE15;PE15 - Parada 1 / Paradero 19 Av. La Florida;-33.53938751;-70.572074
PE16;PE16 - Boston College (La Florida);-33.54339963;-70.57032165
PE17;PE17 - Parada 1 / Paradero 21 Av. La Florida;-33.54714656;-70.568675
PE18;PE18 - Paradero 22 Av. La Florida;-33.54999398;-70.56652156
PE19;PE19 - Parada 1 / Paradero 23 Av. La Florida;-33.55202661;-70.564859
PE20;PE20 - Cementerio Parque El Prado;-33.55485865;-70.562343
PE21;PE21 - Paradero 25 Av. La Florida;-33.55635867;-70.561116
PE22;PE22 - Parada 1 / Paradero 26 Av. La Florida;-33.55892433;-70.55914792
PF1;PF1 - Colegio Mayor;-33.56156073;-70.556639
PF2;PF2 - Liceo J. Mackenna;-33.56396474;-70.555302
PF3;PF3 - Parada 1 / Mall Plaza Tobalaba;-33.56914675;-70.554883
PF4;PF4 - Gabriela Oriente / Av. Camilo Henríquez;-33.57402675;-70.554839
PF5;PF5 - Parada 2 / Hosp. El Peral;-33.57860579;-70.551905
PF829;PF829 - Dr. Carlos Laison / Av. Camilo Henríquez;-33.57606438;-70.55331952
PF6;PF6 - Gabriela Oriente / Av. Camilo Henríquez;-33.57428176;-70.554282
PF7;PF7 - Parada 2 / Mall Plaza Tobalaba;-33.56923675;-70.554511
PF8;PF8 - Liceo J. Mackenna;-33.56435874;-70.555032
PF9;PF9 - Colegio Mayor;-33.56188774;-70.556023
PF10;PF10 - Parada 2 / Paradero 26 Av. La Florida;-33.55956727;-70.55803988
PF11;PF11 - Paradero 25 Av. La Florida;-33.55751268;-70.559708
PF12;PF12 - Cementerio Parque El Prado;-33.55535066;-70.561497
PF13;PF13 - Parada 2 / Paradero 23 Av. La Florida;-33.55235619;-70.56394815
PF15;PF15 - Parada 2 / Paradero 21 Av. La Florida;-33.54782848;-70.5676661
PE23;PE23 - Boston College (La Florida);-33.54387556;-70.56956164
PE24;PE24 - Parada 2 / Paradero 19 Av. La Florida;-33.54003235;-70.57126294
PE25;PE25 - Parada 2 / Paradero 18 Av. La Florida;-33.5358755;-70.57307
PE26;PE26 - Paradero 17 Av. La Florida;-33.53131006;-70.57482016
PE27;PE27 - Paradero 16 Av. La Florida;-33.52876146;-70.575945
PE28;PE28 - Paradero 15 Av. La Florida;-33.52550744;-70.577257
PE29;PE29 - Parada 2 / Paradero 14 Av. La Florida;-33.52281542;-70.578359
PE1287;PE1287 - Manzanillones / Av. La Florida;-33.52088841;-70.579269
PE1383;PE1383 - Los Cardenales / Av. La Florida;-33.51951625;-70.58043053
PE30;PE30 - Los Aralios / Av. La Florida;-33.51837038;-70.581787
PE31;PE31 - Liceo Técnico La Florida;-33.51654335;-70.583365
PE32;PE32 - Cds La Florida;-33.51403032;-70.585214
